character,position,baxter,emc
睡,常合三支去,dzyweH,dʑwieh
睢,心合三脂平,swij,sjwi
睢,曉合三A支平,xjwie,xjwie
睢,曉合三A脂去,xjwijH,xjwih
睢,曉合三A脂平,xjwij,xjwi
督,端一冬入,towk,t̙ok
睥,滂四齊去,phejH,p̙ʰejh
睦,明三C東入,mjuwk,mɨ̯uk
睧,明三A真平,mjin,mjin
睧,明三B真平,min,mɨ̯in
睨,疑開四齊去,ngejH,ɴejh
睩,來一東入,luwk,l̙uk
睪,以開三清入,yek,jak
睪,孃開三鹽入,nrjep,ɳjep
睫,精開三鹽入,tsjep,tsjep
睰,明二山入,meat,m̙eˤt
睲,心開三清上,sjengX,sjaŋʔ
睲,心開四青去,sengH,s̙eŋh
睳,曉合四齊平,xwej,χwej
睴,匣合一魂上,hwonX,ʁwənʔ
睴,見合一魂去,kwonH,qwənh
睵,清開一咍平,tshoj,t̙s̙ʰəj
睵,精開一咍平,tsoj,t̙s̙əj
睹,端一模上,tuX,t̙oʔ
睺,匣一侯去,huwH,ʁuh
睺,匣一侯平,huw,ʁu
睼,定開四齊平,dej,d̙ej
睼,透開四先去,thenH,t̙ʰenh
睽,溪合四齊平,khwej,qʰwej
睿,以合三祭去,ywejH,jwejh
瞀,明一侯去,muwH,m̙uh
瞀,明二江入,maewk,m̙oˤk
瞁,曉合三A清入,xjwiek,xjwak
瞁,曉合四青入,xwek,χwek
瞂,並三C元入,bjot,bɨ̯ət
瞉,溪一侯去,khuwH,qʰuh
瞋,昌開三真平,tsyhin,tɕʰin
瞍,心一侯上,suwX,s̙uʔ
瞍,心開四蕭平,sew,s̙ew
瞎,曉開二刪入,xaet,χaˤt
瞐,明二江入,maewk,m̙oˤk
瞑,明四先去,menH,m̙enh
瞑,明四先平,men,m̙en
瞑,明四青平,meng,m̙eŋ
瞖,影開四齊去,'ejH,ʔ̙ejh
瞗,端開四蕭平,tew,t̙ew
瞘,影一侯平,'uw,ʔ̙u
瞙,明一唐入,mak,m̙ɑk
瞚,書合三真去,sywinH,ɕwinh
瞜,來一侯平,luw,l̙u
瞜,來合三虞平,lju,ljo
瞞,明一寒平,man,m̙ɑn
瞟,滂三A宵上,phjiewX,pʰjewʔ
瞟,滂三A宵平,phjiew,pʰjew
瞠,徹開二庚平,trhaeng,ʈʰaˤŋ
瞡,見合三A支去,kjwieH,kjwieh
瞡,見合三A脂去,kjwijH,kjwih
瞢,明一登平,mong,m̙əŋ
瞢,明三C東去,mjuwngH,mɨ̯uŋh
瞢,明三C東平,mjuwng,mɨ̯uŋ
瞤,日合三真平,nywin,ɲwin
瞥,滂三A仙入,phjiet,pʰjet
瞥,滂四先入,phet,p̙ʰet
瞦,曉開三C之平,xi,xɨ
瞪,澄開二耕平,dreang,ɖeˤŋ
瞪,澄開三蒸去,dringH,ɖjɨŋh
瞪,澄開三蒸平,dring,ɖjɨŋ
瞫,定開一覃去,domH,d̙əmh
瞫,書開三侵上,syimX,ɕimʔ
瞬,書合三真去,sywinH,ɕwinh
瞭,來開四蕭上,lewX,l̙ewʔ
瞭,來開四蕭平,lew,l̙ew
瞯,匣開二山平,hean,ʁeˤn
瞰,溪開一談去,khamH,qʰɑmh
瞱,云開三B鹽入,hjep,wɨ̯ep
瞲,曉合四先入,xwet,χwet
瞳,定一東平,duwng,d̙uŋ
瞴,明三C虞上,mjuX,mɨ̯oʔ
瞴,明三C虞平,mju,mɨ̯o
瞵,來開三真去,linH,linh
瞵,來開三真平,lin,lin
瞶,以合三脂去,ywijH,jwih
瞶,見合三C微去,kjw+jH,kwɨjh
瞺,影合一泰去,'wajH,ʔ̙wɑjh
瞻,章開三鹽平,tsyem,tɕem
瞼,見開三B鹽上,kjemX,kɨ̯emʔ
瞽,見一模上,kuX,qoʔ
瞿,見合三C虞去,kjuH,kɨ̯oh
瞿,羣合三C虞平,gju,ɡɨ̯o
矀,明三B脂平,mij,mɨ̯i
矀,明三C微平,mj+j,mwɨj
矆,曉合三C陽入,xjwak,xwɨ̯ɑk
矇,明一東平,muwng,m̙uŋ
矉,幫三A真平,pjin,pjin
矊,明三A仙平,mjien,mjen
矌,溪合一唐去,khwangH,qʰwɑŋh
矍,見合三C陽入,kjwak,kwɨ̯ɑk
矎,曉合三A清去,xjwiengH,xjwaŋh
矎,曉合四先平,xwen,χwen
矏,明三A仙平,mjien,mjen
矏,明四先平,men,m̙en
矐,曉合一唐入,xwak,χwɑk
矐,曉開一唐入,xak,χɑk
矑,來一模平,lu,l̙o
矔,見合一寒去,kwanH,qwɑnh
矔,見合二刪去,kwaenH,qwaˤnh
矕,明二刪上,maenX,m̙aˤnʔ
矖,生開三支上,srjeX,ʂɨ̯ieʔ
矖,來開三支平,lje,lie
矗,初三東入,tsrhjuwk,tʂʰɨ̯uk
矗,徹三東入,trhjuwk,ʈʰjuk
矘,透開一唐上,thangX,t̙ʰɑŋʔ
矚,章三鍾入,tsyowk,tɕok
矛,明三C尤平,mjuw,mɨ̯u
矜,見開三C蒸平,king,kɨŋ
矞,以合三真入,ywit,jwit
矟,生二江入,sraewk,ʂoˤk
矠,初開二耕入,tsrheak,tʂʰeˤk
矠,崇開二耕入,dzreak,dʐeˤk
矢,書開三脂上,syijX,ɕiʔ
矣,云開三C之上,hiX,ɨʔ
矤,書開三真上,syinX,ɕinʔ
知,知開三支平,trje,ʈie
矦,匣一侯平,huw,ʁu
矧,書開三真上,syinX,ɕinʔ
矨,疑開四青上,ngengX,ɴeŋʔ
矩,見合三C虞上,kjuX,kɨ̯oʔ
矪,知三尤平,trjuw,ʈju
矬,從合一歌平,dzwa,d̙z̙wɑ
短,端合一寒上,twanX,t̙wɑnʔ
矮,影開二佳上,'eaX,ʔ̙eˤʔ
矯,見開三B宵上,kjewX,kɨ̯ewʔ
矰,精開一登平,tsong,t̙s̙əŋ
矲,並二佳上,beaX,b̙eˤʔ
石,常開三清入,dzyek,dʑak
矴,端開四青去,tengH,t̙eŋh
矸,匣開一寒去,hanH,ʁɑnh
矸,見開一寒上,kanX,qɑnʔ
矸,見開一寒去,kanH,qɑnh
矹,疑合一魂入,ngwot,ɴwət
矺,知開二耕入,treak,ʈeˤk
矺,透開一唐入,thak,t̙ʰɑk
矺,端開一談入,tap,t̙ɑp
矻,溪合一魂入,khwot,qʰwət
矼,見二江平,kaewng,qoˤŋ
砂,生開二麻平,srae,ʂaˤ
砅,來開三祭去,ljejH,ljejh
砉,曉合二庚入,xwaek,χwaˤk
砉,曉合四青入,xwek,χwek
砊,溪開一唐去,khangH,qʰɑŋh
砊,溪開二庚平,khaeng,qʰaˤŋ
砌,清開四齊去,tshejH,t̙s̙ʰejh
砎,匣開二刪入,haet,ʁaˤt
砎,見開二山入,keat,qeˤt
砎,見開二皆去,keajH,qeˤjh
砏,滂三B真平,phin,pʰɨ̯in
砏,滂三C文平,phjun,pʰɨ̯un
砏,幫三B真平,pin,pɨ̯in
砐,疑開一覃入,ngop,ɴəp
砑,疑開二麻去,ngaeH,ɴaˤh
研,疑開四先去,ngenH,ɴenh
研,疑開四先平,ngen,ɴen
砝,見開一談入,kap,qɑp
砝,見開三C嚴入,kjaep,kɨ̯əp
砟,從開一唐入,dzak,d̙z̙ɑk
砠,清開三魚平,tshjo,tsʰjə
砡,疑三C東入,ngjuwk,ŋɨ̯uk
砢,來開一歌上,laX,l̙ɑʔ
砥,章開三支上,tsyeX,tɕieʔ
砥,章開三脂上,tsyijX,tɕiʔ
砥,章開三脂平,tsyij,tɕi
砦,崇開二夬去,dzraejH,dʐaˤjh
砧,知開三侵平,trim,ʈim
砩,幫三C廢去,pjojH,pɨ̯əjh
砬,來開三侵入,lip,lip
砭,幫三B鹽去,pjemH,pɨ̯emh
砭,幫三B鹽平,pjem,pɨ̯em
砮,泥一模上,nuX,n̙oʔ
砮,泥一模平,nu,n̙o
砯,滂三B蒸平,phing,pʰɨŋ
砰,滂二耕平,pheang,p̙ʰeˤŋ
砱,來開四青平,leng,l̙eŋ
破,滂一歌去,phaH,p̙ʰɑh
硂,清合三仙平,tshjwen,tsʰjwen
硃,章合三虞平,tsyu,tɕo
硅,曉合二庚入,xwaek,χwaˤk
硈,溪開二山入,kheat,qʰeˤt
硉,來合一魂入,lwot,l̙wət
硊,疑合三B支上,ngjweX,ŋwɨ̯ieʔ
硋,疑開一咍去,ngojH,ɴəjh
硌,來開一唐入,lak,l̙ɑk
硍,匣開二山上,heanX,ʁeˤnʔ
硎,匣開四青平,heng,ʁeŋ
硎,溪開二庚平,khaeng,qʰaˤŋ
硐,定一東上,duwngX,d̙uŋʔ
硐,定一東平,duwng,d̙uŋ
硜,溪開二耕平,kheang,qʰeˤŋ
硝,心開三宵平,sjew,sjew
硞,溪一冬入,khowk,qʰok
硞,溪二江入,khaewk,qʰoˤk
硟,心開三仙平,sjen,sjen
硟,昌開三仙去,tsyhenH,tɕʰenh
硠,來開一唐平,lang,l̙ɑŋ
硤,匣開二咸入,heap,ʁeˤp
硦,來合一唐入,lwak,l̙wɑk
硨,昌開三麻平,tsyhae,tɕʰa
硩,透開四青入,thek,t̙ʰek
硩,徹開三仙入,trhjet,ʈʰjet
硪,疑開一歌上,ngaX,ɴɑʔ
硪,疑開一歌平,nga,ɴɑ
硫,來三尤平,ljuw,lju
硬,疑開二耕去,ngeangH,ɴeˤŋh
硭,明三C陽平,mjang,mɨ̯ɑŋ
确,匣二江入,haewk,ʁoˤk
硯,疑開四先去,ngenH,ɴenh
硰,生開二麻平,srae,ʂaˤ
硰,清開一歌上,tshaX,t̙s̙ʰɑʔ
硱,溪合一魂上,khwonX,qʰwənʔ
硱,溪開三B蒸平,khing,kʰɨŋ
硹,心三東平,sjuwng,sjuŋ
硻,溪開二耕平,kheang,qʰeˤŋ
硾,澄合三支去,drjweH,ɖjwieh
硿,溪一東平,khuwng,qʰuŋ
碁,羣開三C之平,gi,ɡɨ
碆,並一歌平,ba,b̙ɑ
碆,幫一歌平,pa,p̙ɑ
碌,來一東入,luwk,l̙uk
碌,來三鍾入,ljowk,ljok
碎,心合一灰去,swojH,s̙wəjh
碏,清開三陽入,tshjak,tsʰjɑk
碑,幫三B支平,pje,pɨ̯ie
碓,端合一灰去,twojH,t̙wəjh
碔,明三C虞上,mjuX,mɨ̯oʔ
碕,溪開三B支上,khjeX,kʰɨ̯ieʔ
碕,溪開三B支平,khje,kʰɨ̯ie
碕,羣開三B支平,gje,ɡɨ̯ie
碕,羣開三C微平,gj+j,ɡɨj
碖,來合一魂上,lwonX,l̙wənʔ
碖,來合一魂去,lwonH,l̙wənh
碝,日合三仙上,nywenX,ɲwenʔ
碞,疑開二咸平,ngeam,ɴeˤm
碞,疑開三B侵平,ngim,ŋɨ̯im
碡,定一冬入,dowk,d̙ok
碡,定一東入,duwk,d̙uk
碡,澄三東入,drjuwk,ɖjuk
碢,定合一歌平,dwa,d̙wɑ
碣,羣開三B仙入,gjet,ɡɨ̯et
碣,羣開三C元入,gjot,ɡɨ̯ət
碥,幫四先上,penX,p̙enʔ
碧,幫三B庚入,pjaek,pɨ̯ak
碨,影合一灰上,'wojX,ʔ̙wəjʔ
碨,影合二皆平,'weaj,ʔ̙weˤj
碩,常開三清入,dzyek,dʑak
碪,知開三侵平,trim,ʈim
碫,端合一寒去,twanH,t̙wɑnh
碬,匣開二麻平,hae,ʁaˤ
碭,定開一唐去,dangH,d̙ɑŋh
碭,定開一唐平,dang,d̙ɑŋ
碯,泥開一豪上,nawX,n̙əwʔ
確,溪二江入,khaewk,qʰoˤk
碻,溪二江入,khaewk,qʰoˤk
碼,明二麻上,maeX,m̙aˤʔ
碽,見一東平,kuwng,quŋ
碾,孃開三仙去,nrjenH,ɳjenh
磃,心開三支平,sje,sie
磄,定開一唐平,dang,d̙ɑŋ
磅,滂一唐平,phang,p̙ʰɑŋ
磅,滂二庚平,phaeng,p̙ʰaˤŋ
磆,匣合二山入,hweat,ʁweˤt
磇,滂四齊平,phej,p̙ʰej
磈,溪合一灰上,khwojX,qʰwəjʔ
磈,影合三C微上,'jw+jX,ʔwɨjʔ
磉,心開一唐上,sangX,s̙ɑŋʔ
磊,來合一灰上,lwojX,l̙wəjʔ
磋,清開一歌去,tshaH,t̙s̙ʰɑh
磋,清開一歌平,tsha,t̙s̙ʰɑ
磌,定開四先平,den,d̙en
磌,章開三真平,tsyin,tɕin
磍,見開二山入,keat,qeˤt
磍,溪開二刪入,khaet,qʰaˤt
磎,溪開四齊平,khej,qʰej
磐,並一寒平,ban,b̙ɑn
磑,疑合一灰去,ngwojH,ɴwəjh
磑,疑合一灰平,ngwoj,ɴwəj
磒,云合三B真上,hwinX,wɨ̯inʔ
磓,端合一灰平,twoj,t̙wəj
磔,知開二庚入,traek,ʈaˤk
磕,溪開一泰去,khajH,qʰɑjh
磕,溪開一寒入,khat,qʰɑt
磕,溪開一談入,khap,qʰɑp
磖,來開一覃入,lop,l̙əp
磝,疑開二肴平,ngaew,ɴaˤw
磟,來一東入,luwk,l̙uk
磟,來三東入,ljuwk,ljuk
磡,溪開一覃去,khomH,qʰəmh
磢,初開三陽上,tsrhjangX,tʂʰɨ̯ɑŋʔ
磣,初開三侵上,tsrhimX,tʂʰɨ̯imʔ
磤,影開三C殷上,'j+nX,ʔɨnʔ
磥,來合一灰上,lwojX,l̙wəjʔ
磧,清開三清入,tshjek,tsʰjak
磨,明一歌去,maH,m̙ɑh
磨,明一歌平,ma,m̙ɑ
磩,清開四青入,tshek,t̙s̙ʰek
磫,精三鍾平,tsjowng,tsjoŋ
磬,溪開四青去,khengH,qʰeŋh
磭,昌開三陽入,tsyhak,tɕʰɑk
磭,疑開三B真上,nginX,ŋɨ̯inʔ
磭,疑開三C陽入,ngjak,ŋɨ̯ɑk
磯,見開三C微平,kj+j,kɨj
磰,常開三仙上,dzyenX,dʑenʔ
磲,羣開三C魚平,gjo,ɡɨ̯ə
磳,崇開三蒸平,dzring,dʐɨŋ
磳,精開一登平,tsong,t̙s̙əŋ
磴,端開一登去,tongH,t̙əŋh
磶,心開三清入,sjek,sjak
磷,來開三真去,linH,linh
磷,來開三真平,lin,lin
磹,定開四添去,demH,d̙emh
磻,並一寒平,ban,b̙ɑn
磼,從開一覃入,dzop,d̙z̙əp
磽,溪開二肴平,khaew,qʰaˤw
磽,溪開四蕭上,khewX,qʰewʔ
磽,疑開二肴去,ngaewH,ɴaˤwh
磾,端開四齊平,tej,t̙ej
磿,來開四青入,lek,l̙ek
礉,溪開二肴去,khaewH,qʰaˤwh
礉,溪開二肴平,khaew,qʰaˤw
礊,溪開二庚入,khaek,qʰaˤk
礊,溪開二耕入,kheak,qʰeˤk
礊,曉合二耕入,xweak,χweˤk
礎,初開三魚上,tsrhjoX,tʂʰɨ̯əʔ
礏,疑開一覃入,ngop,ɴəp
礐,匣一冬入,howk,ʁok
礐,匣一東入,huwk,ʁuk
礐,來開二耕入,leak,l̙eˤk
礐,溪二江入,khaewk,qʰoˤk
礒,疑開三B支上,ngjeX,ŋɨ̯ieʔ
礓,見開三C陽平,kjang,kɨ̯ɑŋ
礘,疑開一覃入,ngop,ɴəp
礙,疑開一咍去,ngojH,ɴəjh
礛,見開二銜平,kaem,qaˤm
礜,以開三魚去,yoH,jəh
礠,從開三之平,dzi,dzjɨ
礣,明二山入,meat,m̙eˤt
礣,明二刪入,maet,m̙aˤt
礤,清開一寒入,tshat,t̙s̙ʰɑt
礥,匣開四先上,henX,ʁenʔ
礥,匣開四先平,hen,ʁen
礦,見合二庚上,kwaengX,qwaˤŋʔ
礧,來合一灰上,lwojX,l̙wəjʔ
礧,來合一灰去,lwojH,l̙wəjh
礩,章開三真入,tsyit,tɕit
礩,章開三脂去,tsyijH,tɕih
礪,來開三祭去,ljejH,ljejh
礫,來開四青入,lek,l̙ek
礬,並三C元平,bjon,bɨ̯ən
礮,滂二肴去,phaewH,p̙ʰaˤwh
礱,來一東去,luwngH,l̙uŋh
礱,來一東平,luwng,l̙uŋ
礴,並一唐入,bak,b̙ɑk
礹,疑開二銜平,ngaem,ɴaˤm
礹,疑開三C嚴上,ngjaemX,ŋɨ̯əmʔ
示,船開三脂去,zyijH,ʑih
示,羣開三A支平,gjie,ɡjie
礼,來開四齊上,lejX,l̙ejʔ
礽,日開三蒸平,nying,ɲɨŋ
社,常開三麻上,dzyaeX,dʑaʔ
礿,以開三陽入,yak,jɑk
祀,邪開三之上,ziX,zjɨʔ
祁,章開三脂上,tsyijX,tɕiʔ
祁,羣開三A脂平,gjij,ɡji
祅,影開三B宵平,'jew,ʔɨ̯ew
祆,曉開四先平,xen,χen
祇,羣開三A支平,gjie,ɡjie
祈,羣開三C微平,gj+j,ɡɨj
祉,徹開三之上,trhiX,ʈʰjɨʔ
祊,幫二庚平,paeng,p̙aˤŋ
祋,端合一泰去,twajH,t̙wɑjh
祋,端合一寒入,twat,t̙wɑt
祏,常開三清入,dzyek,dʑak
祐,云三C尤去,hjuwH,wɨ̯uh
祓,滂三C文入,phjut,pʰɨ̯ut
祓,幫三C廢去,pjojH,pɨ̯əjh
祔,並三C虞去,bjuH,bɨ̯oh
祕,幫三B脂去,pijH,pɨ̯ih
祖,精一模上,tsuX,t̙s̙oʔ
祗,章開三脂平,tsyij,tɕi
祘,心合一寒去,swanH,s̙wɑnh
祚,從一模去,dzuH,d̙z̙oh
祜,匣一模上,huX,ʁoʔ
祝,章三尤去,tsyuwH,tɕuh
祝,章三東入,tsyuwk,tɕuk
神,船開三真平,zyin,ʑin
祟,心合三脂去,swijH,sjwih
祠,邪開三之平,zi,zjɨ
祡,崇開二佳平,dzrea,dʐeˤ
祣,來開三魚上,ljoX,ljəʔ
祤,云合三C虞上,hjuX,wɨ̯oʔ
祤,曉合三C虞上,xjuX,xɨ̯oʔ
祥,邪開三陽平,zjang,zjɑŋ
祦,疑一模平,ngu,ɴo
祧,透開四蕭平,thew,t̙ʰew
祩,章合三虞去,tsyuH,tɕoh
祩,章合三虞平,tsyu,tɕo
祪,見合三B支上,kjweX,kwɨ̯ieʔ
祫,匣開二咸入,heap,ʁeˤp
祭,莊開二皆去,tsreajH,tʂeˤjh
祭,精開三祭去,tsjejH,tsjejh
祰,見一冬入,kowk,qok
祰,溪開一豪上,khawX,qʰəwʔ
祲,精開三侵去,tsimH,tsimh
祲,精開三侵平,tsim,tsim
祳,常開三真上,dzyinX,dʑinʔ
祴,見開一咍平,koj,qəj
祺,羣開三C之平,gi,ɡɨ
祼,見合一寒去,kwanH,qwɑnh
祽,精合一灰去,tswojH,t̙s̙wəjh
祾,來開一登平,long,l̙əŋ
祾,來開三蒸平,ling,ljɨŋ
祿,來一東入,luwk,l̙uk
禁,見開三B侵去,kimH,kɨ̯imh
禁,見開三B侵平,kim,kɨ̯im
禂,端開一豪上,tawX,t̙əwʔ
禊,匣開四齊去,hejH,ʁejh
禋,影開三A真平,'jin,ʔjin
禍,匣合一歌上,hwaX,ʁwɑʔ
禎,知開三清平,trjeng,ʈjaŋ
福,幫三C東入,pjuwk,pɨ̯uk
禓,以開三陽平,yang,jɑŋ
禓,書開三陽平,syang,ɕɑŋ
禔,定開四齊平,dej,d̙ej
禔,常開三支平,dzye,dʑie
禔,章開三支平,tsye,tɕie
禕,影開三B支平,'je,ʔɨ̯ie
禖,明一灰平,mwoj,m̙wəj
禗,心開三之平,si,sjɨ
禘,定開四齊去,dejH,d̙ejh
禚,章開三陽入,tsyak,tɕɑk
禛,章開三真平,tsyin,tɕin
禜,云合三B庚去,hjwaengH,wɨ̯aŋh
禜,云合三B庚平,hjwaeng,wɨ̯aŋ
禠,心開三支平,sje,sie
禡,明二麻去,maeH,m̙aˤh
禥,羣開三C之平,gi,ɡɨ
禦,疑開三C魚上,ngjoX,ŋɨ̯əʔ
禧,曉開三C之平,xi,xɨ
禨,見開三C微去,kj+jH,kɨjh
禨,見開三C微平,kj+j,kɨj
禩,邪開三之上,ziX,zjɨʔ
禪,常開三仙去,dzyenH,dʑenh
禪,常開三仙平,dzyen,dʑen
禫,定開一覃上,domX,d̙əmʔ
禬,匣合一泰去,hwajH,ʁwɑjh
禬,見合一泰去,kwajH,qwɑjh
禮,來開四齊上,lejX,l̙ejʔ
禰,泥開四齊上,nejX,n̙ejʔ
禱,端開一豪上,tawX,t̙əwʔ
禱,端開一豪去,tawH,t̙əwh
禲,來開三祭去,ljejH,ljejh
禳,日開三陽平,nyang,ɲɑŋ
禴,以開三陽入,yak,jɑk
禶,從開一寒上,dzanX,d̙z̙ɑnʔ
禷,來合三脂去,lwijH,ljwih
禸,日三尤上,nyuwX,ɲuʔ
禸,孃三尤上,nrjuwX,ɳjuʔ
禹,云合三C虞上,hjuX,wɨ̯oʔ
禺,疑合三C虞去,ngjuH,ŋɨ̯oh
禺,疑合三C虞平,ngju,ŋɨ̯o
离,來開三支平,lje,lie
离,徹開三支平,trhje,ʈʰie
禼,心開三仙入,sjet,sjet
禽,羣開三B侵平,gim,ɡɨ̯im
禾,匣合一歌平,hwa,ʁwɑ
禿,透一東入,thuwk,t̙ʰuk
秀,心三尤去,sjuwH,sjuh
私,心開三脂平,sij,si
秄,精開三之上,tsiX,tsjɨʔ
秅,端一模去,tuH,t̙oh
秅,澄開二麻平,drae,ɖaˤ
秆,見開一寒上,kanX,qɑnʔ
秈,心開三仙平,sjen,sjen
秉,幫三B庚上,pjaengX,pɨ̯aŋʔ
秊,泥開四先平,nen,n̙en
秋,清三尤平,tshjuw,tsʰju
秌,清三尤平,tshjuw,tsʰju
种,澄三東平,drjuwng,ɖjuŋ
秎,並三C文去,bjunH,bɨ̯unh
秏,曉合一灰去,xwojH,χwəjh
秏,曉開一豪去,xawH,χəwh
科,溪合一歌去,khwaH,qʰwɑh
科,溪合一歌平,khwa,qʰwɑ
秒,明三A宵上,mjiewX,mjewʔ
秔,見開二庚平,kaeng,qaˤŋ
秕,幫三A脂上,pjijX,pjiʔ
秛,滂三B支去,phjeH,pʰɨ̯ieh
秛,滂三B支平,phje,pʰɨ̯ie
秜,來開三脂平,lij,li
秝,來開四青入,lek,l̙ek
秞,以三尤平,yuw,ju
租,精一模平,tsu,t̙s̙o
秠,滂三B脂上,phijX,pʰɨ̯iʔ
秠,滂三B脂平,phij,pʰɨ̯i
秠,滂三C尤上,phjuwX,pʰɨ̯uʔ
秠,滂三C尤平,phjuw,pʰɨ̯u
秢,來開四青平,leng,l̙eŋ
秣,明一寒入,mat,m̙ɑt
秤,昌開三蒸去,tsyhingH,tɕʰɨŋh
秦,從開三真平,dzin,dzin
秧,影開三C陽上,'jangX,ʔɨ̯ɑŋʔ
秧,影開三C陽平,'jang,ʔɨ̯ɑŋ
秨,從一模去,dzuH,d̙z̙oh
秨,從開一唐入,dzak,d̙z̙ɑk
秩,澄開三真入,drit,ɖit
秪,知開三脂平,trij,ʈi
秫,船合三真入,zywit,ʑwit
秬,羣開三C魚上,gjoX,ɡɨ̯əʔ
秭,精開三脂上,tsijX,tsiʔ
秲,常開三之去,dzyiH,dʑɨh
秲,澄開三之上,driX,ɖjɨʔ
秳,匣合一寒入,hwat,ʁwɑt
秷,知開三真入,trit,ʈit
秸,見開二山入,keat,qeˤt
秺,端一模去,tuH,t̙oh
移,以開三支平,ye,jie
秿,並三C虞上,bjuX,bɨ̯oʔ
秿,滂三C虞平,phju,pʰɨ̯o
秿,幫一模平,pu,p̙o
稀,曉開三C微平,xj+j,xɨj
稂,來開一唐平,lang,l̙ɑŋ
稃,滂三C虞平,phju,pʰɨ̯o
稄,莊開三蒸入,tsrik,tʂɨk
稅,書合三祭去,sywejH,ɕwejh
稇,溪合一魂上,khwonX,qʰwənʔ
稈,見開一寒上,kanX,qɑnʔ
稉,見開二庚平,kaeng,qaˤŋ
稊,定開四齊平,dej,d̙ej
程,澄開三清平,drjeng,ɖjaŋ
稌,透一模上,thuX,t̙ʰoʔ
稌,透一模平,thu,t̙ʰo
稍,生開二肴去,sraewH,ʂaˤwh
稏,影開二麻去,'aeH,ʔ̙aˤh
稑,來三東入,ljuwk,ljuk
稒,見一模去,kuH,qoh
稔,日開三侵上,nyimX,ɲimʔ
稕,章合三真去,tsywinH,tɕwinh
稗,並二佳去,beaH,b̙eˤh
稘,見開三C之平,ki,kɨ
稙,知開三蒸入,trik,ʈjɨk
稚,澄開三脂去,drijH,ɖih
稜,來開一登平,long,l̙əŋ
稞,匣合二麻上,hwaeX,ʁwaˤʔ
稞,溪合一歌平,khwa,qʰwɑ
稟,幫三B侵上,pimX,pɨ̯imʔ
稠,澄三尤平,drjuw,ɖju
稡,精合一魂入,tswot,t̙s̙wət
稧,匣開四齊去,hejH,ʁejh
稫,滂三B蒸入,phik,pʰɨk
稬,泥合一寒上,nwanX,n̙wɑnʔ
稬,泥合一寒去,nwanH,n̙wɑnh
稬,泥合一歌去,nwaH,n̙wɑh
稭,見開二山入,keat,qeˤt
稭,見開二皆平,keaj,qeˤj
種,章三鍾上,tsyowngX,tɕoŋʔ
種,章三鍾去,tsyowngH,tɕoŋh
稯,精一東平,tsuwng,t̙s̙uŋ
稰,心開三魚上,sjoX,sjəʔ
稰,心開三魚平,sjo,sjə
稱,昌開三蒸去,tsyhingH,tɕʰɨŋh
稱,昌開三蒸平,tsyhing,tɕʰɨŋ
稴,匣開二咸平,heam,ʁeˤm
稴,匣開四添平,hem,ʁem
稴,來開四添上,lemX,l̙emʔ
稴,來開四添去,lemH,l̙emh
稵,精開三之平,tsi,tsjɨ
稶,影三C東入,'juwk,ʔɨ̯uk
稷,精開三蒸入,tsik,tsjɨk
稸,徹三東入,trhjuwk,ʈʰjuk
稸,曉三C東入,xjuwk,xɨ̯uk
稹,章開三真上,tsyinX,tɕinʔ
稹,章開三真平,tsyin,tɕin
稺,澄開三脂去,drijH,ɖih
稻,定開一豪上,dawX,d̙əwʔ
稼,見開二麻去,kaeH,qaˤh
稽,見開四齊平,kej,qej
稽,溪開四齊上,khejX,qʰejʔ
稾,見開一豪上,kawX,qəwʔ
稾,溪開一豪去,khawH,qʰəwh
穀,見一東入,kuwk,quk
穁,日三鍾上,nyowngX,ɲoŋʔ
穁,日三鍾平,nyowng,ɲoŋ
穄,精開三祭去,tsjejH,tsjejh
穅,溪開一唐平,khang,qʰɑŋ
穆,明三C東入,mjuwk,mɨ̯uk
穇,生開二銜平,sraem,ʂaˤm
穊,見開三B脂去,kijH,kɨ̯ih
穋,來三東入,ljuwk,ljuk
穌,心一模平,su,s̙o
積,精開三支去,tsjeH,tsieh
積,精開三清入,tsjek,tsjak
穎,以合三清上,ywengX,jwaŋʔ
穕,清開三鹽入,tshjep,tsʰjep
穖,見開三C微上,kj+jX,kɨjʔ
穗,邪合三脂去,zwijH,zjwih
穘,曉開二肴平,xaew,χaˤw
穙,並一東入,buwk,b̙uk
穚,見開三B宵平,kjew,kɨ̯ew
穛,莊二江入,tsraewk,tʂoˤk
穜,定一東平,duwng,d̙uŋ
穜,澄三鍾平,drjowng,ɖjoŋ
穟,邪合三脂去,zwijH,zjwih
穠,日三鍾平,nyowng,ɲoŋ
穠,孃三鍾平,nrjowng,ɳjoŋ
穡,生開三蒸入,srik,ʂɨk
穢,影合三C廢去,'jwojH,ʔwɨ̯əjh
穥,以開三魚去,yoH,jəh
穧,從開四齊去,dzejH,d̙z̙ejh
穧,精開三祭去,tsjejH,tsjejh
穧,精開四齊去,tsejH,t̙s̙ejh
穨,定合一灰平,dwoj,d̙wəj
穩,影合一魂上,'wonX,ʔ̙wənʔ
穫,匣合一唐入,hwak,ʁwɑk
穬,見合二庚上,kwaengX,qwaˤŋʔ
穭,來開三魚上,ljoX,ljəʔ
穰,日開三陽上,nyangX,ɲɑŋʔ
穰,日開三陽平,nyang,ɲɑŋ
穱,莊二江入,tsraewk,tʂoˤk
穲,來開三支平,lje,lie
穳,從合一寒平,dzwan,d̙z̙wɑn
