character,position,baxter,emc,lmc,nw,nw_late
芄,匣合一寒平,hwan,ʁwɑn,ʁwɑn,ʁ̥ɦwɑn,χwɑn
芅,以開三蒸入,yik,jɨk,jɨk,jɨɣ,jɨɣ
芆,初開二佳平,tsrhea,tʂʰeˤ,tʂʰʕaj,tʂʰʕaj,tʂʰʕaj
芇,明一寒平,man,m̙ɑn,mɑn,mbɑn,mbɑn
芇,明三A仙平,mjien,mjen,mjɛn,mbjɛn,mbjɛn
芇,明四先上,menX,m̙enʔ,mjɛnX,mbjɛnX,mbjɛnX
芊,清開四先去,tshenH,t̙s̙ʰenh,tsʰjɛnH,tsʰjɛnH,tsʰjɛnH
芊,清開四先平,tshen,t̙s̙ʰen,tsʰjɛn,tsʰjɛn,tsʰjɛn
芋,云合三C虞去,hjuH,wɨ̯oh,ɣɨuH,ɣɨuH,ɣɨuH
芋,云合三C虞平,hju,wɨ̯o,ɣɨu,ɣɨu,ɣɨu
芍,匣開四蕭上,hewX,ʁewʔ,ɣjɛwH,ɣ̊ɦjɛwH,xjɛwH
芍,知開三陽入,trjak,ʈjɑk,ʈɨɑk,ʈɨɑɣ,ʈɨɔɣ
芍,常開三陽入,dzyak,dʑɑk,ʑɑk,ʑ̊ɦɑɣ,ɕɔɣ
芍,清開三陽入,tshjak,tsʰjɑk,tsʰjɑk,tsʰjɑɣ,tsʰjɔɣ
芍,端開四青入,tek,t̙ek,tjɛk,tjɛɣ,tjɨɣ
芎,溪三C東平,khjuwng,kʰɨ̯uŋ,kʰɨuŋ,kʰɨuŋ,kʰɨuŋ
芏,透一模上,thuX,t̙ʰoʔ,tʰuX,tʰuX,tʰuX
芐,匣一模上,huX,ʁoʔ,ʁuH,ʁ̥ɦuH,χuH
芐,匣開二麻去,haeH,ʁaˤh,ʁʕaH,ʁ̥ɦʕaH,χʕaH
芑,溪開三C之上,khiX,kʰɨʔ,kʰɨiX,kʰɨiX,kʰɨiX
芒,明一唐平,mang,m̙ɑŋ,mɑŋ,mbɔũ,mbɔũ
芒,明三C陽平,mjang,mɨ̯ɑŋ,ɱɑŋ,ʋɔũ,ʋɔũ
芓,從開三之去,dziH,dzjɨh,dzjiH,d̥z̥ɦəH,tsʰəH
芔,曉合三C微去,xjw+jH,xwɨjh,xwɨiH,xwɨiH,xwɨiH
芘,並三A脂去,bjijH,bjih,bjiH,b̥ɦjiH,pʰjiH
芘,並三A脂平,bjij,bji,bji,b̥ɦji,pʰji
芙,並三C虞平,bju,bɨ̯o,bvu,v̥ɦu,fu
芚,定合一魂平,dwon,d̙wən,dwən,d̥ɦwən,tʰwən
芛,以合三支上,yweX,jwieʔ,jwiX,jwiX,jwiX
芛,以合三真入,ywit,jwit,jwit,jwir,jwir
芝,章開三之平,tsyi,tɕɨ,tɕi,tɕi,tɕi
芟,生開二銜平,sraem,ʂaˤm,ʂʕam,ʂʕam,ʂʕam
芡,羣開三B鹽上,gjemX,ɡɨ̯emʔ,ɡɨɛmH,ɡ̊ɦɨɛmH,kʰɨɛmH
芣,並三C尤平,bjuw,bɨ̯u,bvəw,v̥ɦəw,fəw
芥,見開二皆去,keajH,qeˤjh,qʕajH,qʕajH,qʕajH
芧,澄開三魚上,drjoX,ɖjəʔ,ɖɨH,ɖ̥ɦɨuH,ʈʰɨuH
芨,見開三B侵入,kip,kɨ̯ip,kɨip,kɨiβ,kɨiβ
芩,羣開三B侵平,gim,ɡɨ̯im,ɡɨim,ɡ̊ɦɨim,kʰɨim
芪,羣開三A支平,gjie,ɡjie,ɡji,ɡ̊ɦji,kʰji
芫,疑合三C元平,ngjwon,ŋwɨ̯ən,ŋwɨɛn,ŋɡwɨɛn,ŋɡwɨɛn
芬,滂三C文平,phjun,pʰɨ̯un,pfʰun,fun,fun
芭,幫二麻平,pae,p̙aˤ,pʕa,pʕa,pʕa
芮,日合三祭去,nywejH,ɲwejh,ɲwɛjH,ʑwɛjH,ʑwiH
芰,羣開三B支去,gjeH,ɡɨ̯ieh,ɡɨiH,ɡ̊ɦɨiH,kʰɨiH
花,曉合二麻平,xwae,χwaˤ,χwʕa,χwʕa,χwʕa
芳,滂三C陽平,phjang,pʰɨ̯ɑŋ,pfʰɑŋ,fɔũ,fɔũ
芴,明三C文入,mjut,mɨ̯ut,ɱut,ʋur,ʋur
芵,見合四先入,kwet,qwet,kjwɛt,kjwɛr,kjwɛr
芷,章開三之上,tsyiX,tɕɨʔ,tɕiX,tɕiX,tɕiX
芸,云合三C文平,hjun,wɨ̯un,ɣɨun,ɣɨun,ɣɨun
芹,羣開三C殷平,gj+n,ɡɨn,ɡɨn,ɡ̊ɦɨn,kʰɨn
芺,影開一豪上,'awX,ʔ̙əwʔ,ʔɑwX,ʔɑwX,ʔɑwX
芺,影開三B宵上,'jewX,ʔɨ̯ewʔ,ʔɨɛwX,ʔɨɛwX,ʔɨɛwX
芻,初合三虞平,tsrhju,tʂʰɨ̯o,tʂʰʕu,tʂʰʕu,tʂʰʕu
芼,明一豪去,mawH,m̙əwh,mɑwH,mbɑwH,mbɑwH
芼,明一豪平,maw,m̙əw,mɑw,mbɑw,mbɑw
芽,疑開二麻平,ngae,ɴaˤ,ɴʕa,ɴɢʕa,ɴɢʕa
芾,幫一泰去,pajH,p̙ɑjh,pɑjH,pɑjH,pɑjH
芾,幫三C文入,pjut,pɨ̯ut,pfut,fur,fur
芾,幫三C微去,pj+jH,pwɨjh,pfjiH,fjiH,fjiH
芿,日開三蒸去,nyingH,ɲɨŋh,ɲɨŋH,ʑɨŋH,ʑɨŋH
苀,匣開一唐平,hang,ʁɑŋ,ʁɑŋ,ʁ̥ɦɔũ,χɔũ
苀,見開一唐平,kang,qɑŋ,qɑŋ,qɔũ,qɔũ
苑,影合三C元上,'jwonX,ʔwɨ̯ənʔ,ʔwɨɛnX,ʔwɨɛnX,ʔwɨɛnX
苒,日開三鹽上,nyemX,ɲemʔ,ɲɛmX,ʑɛmX,ʑɛmX
苓,來開四青平,leng,l̙eŋ,ljɛŋ,ljɛĩ,ljɛĩ
苔,定開一咍平,doj,d̙əj,dɑj,d̥ɦɑj,tʰɑj
苕,定開四蕭平,dew,d̙ew,djɛw,d̥ɦjɛw,tʰjɛw
苖,定開四青入,dek,d̙ek,djɛk,d̥ɦjɛɣ,tʰjɨɣ
苖,徹三東入,trhjuwk,ʈʰjuk,ʈʰɨuk,ʈʰɨuɣ,ʈʰɨuɣ
苗,明三B宵平,mjew,mɨ̯ew,mɨɛw,mbɨɛw,mbɨɛw
苘,溪合三A清上,khjwiengX,kʰjwaŋʔ,kʰjwɛŋX,kʰjwɛĩX,kʰjwɛĩX
苘,溪合四青上,khwengX,qʰweŋʔ,kʰjwɛŋX,kʰjwɛĩX,kʰjwɛĩX
苙,來開三侵入,lip,lip,lɨip,lɨiβ,lɨiβ
苙,羣開三B侵入,gip,ɡɨ̯ip,ɡɨip,ɡ̊ɦɨiβ,kʰɨiβ
苛,匣開一歌平,ha,ʁɑ,ʁɑ,ʁ̥ɦɑ,χɔ
苜,明三C東入,mjuwk,mɨ̯uk,muk,mbuɣ,mbuɣ
苝,並一灰去,bwojH,b̙wəjh,bɑjH,b̥ɦɑjH,pʰɑjH
苞,幫二肴平,paew,p̙aˤw,pʕaw,pʕaw,pʕaw
苟,見一侯上,kuwX,quʔ,qəwX,qəwX,qəwX
苡,以開三之上,yiX,jɨʔ,jiX,jiX,jiX
苢,以開三之上,yiX,jɨʔ,jiX,jiX,jiX
苣,羣開三C魚上,gjoX,ɡɨ̯əʔ,ɡɨH,ɡ̊ɦɨuH,kʰɨuH
若,日開三麻上,nyaeX,ɲaʔ,ɲaX,ʑaX,ʑaX
若,日開三麻平,nyae,ɲa,ɲa,ʑa,ʑa
若,日開三陽入,nyak,ɲɑk,ɲɑk,ʑɑɣ,ʑɔɣ
苦,溪一模上,khuX,qʰoʔ,qʰuX,qʰuX,qʰuX
苦,溪一模去,khuH,qʰoh,qʰuH,qʰuH,qʰuH
苧,澄開三魚上,drjoX,ɖjəʔ,ɖɨH,ɖ̥ɦɨuH,ʈʰɨuH
苨,泥開四齊上,nejX,n̙ejʔ,njɛjX,ndjɛjX,ndjiX
苪,幫三B庚上,pjaengX,pɨ̯aŋʔ,pɨɛŋX,pɨɛĩX,pɨɛĩX
苫,書開三鹽去,syemH,ɕemh,ɕɛmH,ɕɛmH,ɕɛmH
苫,書開三鹽平,syem,ɕem,ɕɛm,ɕɛm,ɕɛm
苬,邪三尤平,zjuw,zju,zjɨw,z̥ɦjɨw,sjɨw
苭,影開四蕭上,'ewX,ʔ̙ewʔ,ʔjɛwX,ʔjɛwX,ʔjɛwX
苮,心開三仙平,sjen,sjen,sjɛn,sjɛn,sjɛn
苯,幫一魂上,pwonX,p̙wənʔ,pənX,pənX,pənX
苰,匣合一登平,hwong,ʁwəŋ,ʁwəŋ,ʁ̥ɦwəŋ,χwəŋ
英,影開三B庚平,'jaeng,ʔɨ̯aŋ,ʔɨɛŋ,ʔɨɛĩ,ʔɨɛĩ
苳,端一冬平,towng,t̙oŋ,tuŋ,tuŋ,tuŋ
苴,崇開二麻平,dzrae,dʐaˤ,ʐʕa,ʐ̥ɦʕa,ʂʕa
苴,清開三魚平,tshjo,tsʰjə,tsʰjɨ,tsʰju,tsʰju
苴,精開三魚上,tsjoX,tsjəʔ,tsjɨX,tsjuX,tsjuX
苴,精開三魚平,tsjo,tsjə,tsjɨ,tsju,tsju
苵,定開四先入,det,d̙et,djɛt,d̥ɦjɛr,tʰjɛr
苶,日開三仙入,nyet,ɲet,ɲɛt,ʑɛr,ʑɛr
苶,泥開四先入,net,n̙et,njɛt,ndjɛr,ndjɛr
苶,泥開四添入,nep,n̙ep,njɛp,ndjɛβ,ndjɛβ
苷,見開一談平,kam,qɑm,qɑm,qɑm,qɑm
苸,曉一模平,xu,χo,χu,χu,χu
苹,並三B庚平,bjaeng,bɨ̯aŋ,bɨɛŋ,b̥ɦɨɛĩ,pʰɨɛĩ
苺,明一侯去,muwH,m̙uh,məwH,mbəwH,mbəwH
苻,並三C虞平,bju,bɨ̯o,bvu,v̥ɦu,fu
苽,見一模平,ku,qo,qu,qu,qu
苾,並三A真入,bjit,bjit,bjit,b̥ɦjir,pʰjir
苾,並四先入,bet,b̙et,bjɛt,b̥ɦjɛr,pʰjɛr
茀,滂三C文入,phjut,pʰɨ̯ut,pfʰut,fur,fur
茀,幫三C微去,pj+jH,pwɨjh,pfjiH,fjiH,fjiH
茁,知合三真入,trwit,ʈjwit,ʈwɨt,ʈwɨr,ʈwɨr
茁,莊合二山入,tsrweat,tʂweˤt,tʂwʕat,tʂwʕar,tʂwʕar
茁,莊合三仙入,tsrjwet,tʂwɨ̯et,tʂwʕat,tʂwʕar,tʂwʕar
茂,明一侯去,muwH,m̙uh,muH,mbuH,mbuH
范,並三C凡上,bjomX,bɨ̯əmʔ,bvʕamH,v̥ɦʕamH,fʕamH
茄,見開二麻平,kae,qaˤ,qʕa,qʕa,qʕa
茄,羣開三C歌平,gja,ɡɨ̯ɑ,ɡɨa,ɡ̊ɦɨa,kʰɨa
茅,明二肴平,maew,m̙aˤw,mʕaw,mbʕaw,mbʕaw
茆,來三尤上,ljuwX,ljuʔ,lɨwX,lɨwX,lɨwX
茆,明二肴上,maewX,m̙aˤwʔ,mʕawX,mbʕawX,mbʕawX
茇,並一寒入,bat,b̙ɑt,bɑt,b̥ɦɑr,pʰɑr
茇,幫一寒入,pat,p̙ɑt,pɑt,pɑr,pɑr
茈,崇開二佳平,dzrea,dʐeˤ,ʐʕaj,ʐ̥ɦʕaj,ʂʕaj
茈,從開三支平,dzje,dzie,dzji,d̥z̥ɦə,tsʰə
茈,精開三支上,tsjeX,tsieʔ,tsjiX,tsəX,tsəX
茋,章開三脂上,tsyijX,tɕiʔ,tɕiX,tɕiX,tɕiX
茍,見開三C蒸入,kik,kɨk,kɨk,kɨɣ,kɨɣ
茖,見開二庚入,kaek,qaˤk,qʕɛk,qʕɛɣ,qʕɛɣ
茗,明四青上,mengX,m̙eŋʔ,mjɛŋX,mbjɛĩX,mbjɛĩX
茙,日三東平,nyuwng,ɲuŋ,ɲuŋ,ʑuŋ,ʑuŋ
茛,見開一痕去,konH,qənh,qənH,qənH,qənH
茜,清開四先去,tshenH,t̙s̙ʰenh,tsʰjɛnH,tsʰjɛnH,tsʰjɛnH
茝,昌開三廢上,tsyhojX,tɕʰəjʔ,tɕʰɛjX,tɕʰɛjX,tɕʰiX
茝,章開三之上,tsyiX,tɕɨʔ,tɕiX,tɕiX,tɕiX
茞,常開三真平,dzyin,dʑin,ʑɨn,ʑ̊ɦɨn,ɕɨn
茠,曉開一豪平,xaw,χəw,χɑw,χɑw,χɑw
茡,從開三之去,dziH,dzjɨh,dzjiH,d̥z̥ɦəH,tsʰəH
茢,來開三仙入,ljet,ljet,lɨɛt,lɨɛr,lɨɛr
茥,見合四齊平,kwej,qwej,kjwɛj,kjwɛj,kjwi
茥,溪合四齊平,khwej,qʰwej,kʰjwɛj,kʰjwɛj,kʰjwi
茨,從開三脂平,dzij,dzi,dzji,d̥z̥ɦə,tsʰə
茩,見一侯上,kuwX,quʔ,qəwX,qəwX,qəwX
茪,見合一唐平,kwang,qwɑŋ,qwɑŋ,qwɔũ,qwɔũ
茫,明一唐平,mang,m̙ɑŋ,mɑŋ,mbɔũ,mbɔũ
茬,崇開三之平,dzri,dʐɨ,ʐʕi,ʐ̥ɦʕə,ʂʕə
茬,莊開三之平,tsri,tʂɨ,tʂʕi,tʂʕə,tʂʕə
茭,見開二肴平,kaew,qaˤw,qʕaw,qʕaw,qʕaw
茮,精開三宵平,tsjew,tsjew,tsjɛw,tsjɛw,tsjɛw
茯,並三C東入,bjuwk,bɨ̯uk,bvuk,v̥ɦuɣ,fuɣ
茱,常合三虞平,dzyu,dʑo,ʑu,ʑ̊ɦu,ɕu
茳,見二江平,kaewng,qoˤŋ,qʕawŋ,qʕɔũ,qʕɔũ
茴,匣合一灰平,hwoj,ʁwəj,ʁwɑj,ʁ̥ɦwɑj,χwɑj
茵,影開三A真平,'jin,ʔjin,ʔjin,ʔjin,ʔjin
茶,澄開二麻平,drae,ɖaˤ,ɖʕa,ɖ̥ɦʕa,ʈʰʕa
茷,並三C元入,bjot,bɨ̯ət,bvʕat,v̥ɦʕar,fʕar
茷,並三C廢去,bjojH,bɨ̯əjh,bvjɛjH,v̥ɦjɛjH,fjiH
茷,幫一泰去,pajH,p̙ɑjh,pɑjH,pɑjH,pɑjH
茸,日三鍾平,nyowng,ɲoŋ,ɲuŋ,ʑuŋ,ʑuŋ
茹,日開三魚上,nyoX,ɲəʔ,ɲɨX,ʑuX,ʑuX
茹,日開三魚去,nyoH,ɲəh,ɲɨH,ʑuH,ʑuH
茹,日開三魚平,nyo,ɲə,ɲɨ,ʑu,ʑu
茺,昌三東平,tsyhuwng,tɕʰuŋ,tɕʰuŋ,tɕʰuŋ,tɕʰuŋ
茻,明一唐上,mangX,m̙ɑŋʔ,mɑŋX,mbɔũX,mbɔũX
茿,知三東入,trjuwk,ʈjuk,ʈɨuk,ʈɨuɣ,ʈɨuɣ
荀,心合三真平,swin,sjwin,sjwin,sjwin,sjwin
荁,匣合一寒平,hwan,ʁwɑn,ʁwɑn,ʁ̥ɦwɑn,χwɑn
荂,滂三C虞平,phju,pʰɨ̯o,pfʰu,fu,fu
荂,曉合三C虞平,xju,xɨ̯o,xɨu,xɨu,xɨu
荃,清合三仙平,tshjwen,tsʰjwen,tsʰjwɛn,tsʰjwɛn,tsʰjwɛn
荄,見開一咍平,koj,qəj,qɑj,qɑj,qɑj
荄,見開二皆平,keaj,qeˤj,qʕaj,qʕaj,qʕaj
荅,端開一覃入,top,t̙əp,tɑp,tɑβ,tɑβ
荇,匣開二庚上,haengX,ʁaˤŋʔ,ʁʕɛŋH,ʁ̥ɦʕɛĩH,χʕɛĩH
荈,昌合三仙上,tsyhwenX,tɕʰwenʔ,tɕʰwɛnX,tɕʰwɛnX,tɕʰwɛnX
草,清開一豪上,tshawX,t̙s̙ʰəwʔ,tsʰɑwX,tsʰɑwX,tsʰɑwX
荊,見開三B庚平,kjaeng,kɨ̯aŋ,kɨɛŋ,kɨɛĩ,kɨɛĩ
荌,影開一寒去,'anH,ʔ̙ɑnh,ʔɑnH,ʔɑnH,ʔɑnH
荍,羣開三A宵平,gjiew,ɡjew,ɡjɛw,ɡ̊ɦjɛw,kʰjɛw
荎,定開四先入,det,d̙et,djɛt,d̥ɦjɛr,tʰjɛr
荎,澄開三脂平,drij,ɖi,ɖɨi,ɖ̥ɦɨi,ʈʰɨi
荏,日開三侵上,nyimX,ɲimʔ,ɲimX,ʑimX,ʑimX
荐,從開四先去,dzenH,d̙z̙enh,dzjɛnH,d̥z̥ɦjɛnH,tsʰjɛnH
荑,以開三脂平,yij,ji,ji,ji,ji
荑,定開四齊平,dej,d̙ej,djɛj,d̥ɦjɛj,tʰji
荒,曉合一唐去,xwangH,χwɑŋh,χwɑŋH,χwɔũH,χwɔũH
荒,曉合一唐平,xwang,χwɑŋ,χwɑŋ,χwɔũ,χwɔũ
荓,並四青平,beng,b̙eŋ,bjɛŋ,b̥ɦjɛĩ,pʰjɛĩ
荔,來開三支去,ljeH,lieh,lɨiH,lɨiH,lɨiH
荔,來開四齊去,lejH,l̙ejh,ljɛjH,ljɛjH,ljiH
荰,定一模上,duX,d̙oʔ,duH,d̥ɦuH,tʰuH
荲,徹三東入,trhjuwk,ʈʰjuk,ʈʰɨuk,ʈʰɨuɣ,ʈʰɨuɣ
荲,徹開三蒸入,trhik,ʈʰjɨk,ʈʰɨk,ʈʰɨɣ,ʈʰɨɣ
荲,曉三C東入,xjuwk,xɨ̯uk,xɨuk,xɨuɣ,xɨuɣ
荳,定一侯去,duwH,d̙uh,dəwH,d̥ɦəwH,tʰəwH
荵,日開三真上,nyinX,ɲinʔ,ɲɨnX,ʑɨnX,ʑɨnX
荶,疑開三B侵平,ngim,ŋɨ̯im,ŋɨim,ŋɡɨim,ŋɡɨim
荷,匣開一歌上,haX,ʁɑʔ,ʁɑH,ʁ̥ɦɑH,χɔH
荷,匣開一歌平,ha,ʁɑ,ʁɑ,ʁ̥ɦɑ,χɔ
荹,並一模去,buH,b̙oh,buH,b̥ɦuH,pʰuH
荹,並一模平,bu,b̙o,bu,b̥ɦu,pʰu
荺,云合三B真上,hwinX,wɨ̯inʔ,ɣɨunX,ɣɨunX,ɣɨunX
荺,云合三B真平,hwin,wɨ̯in,ɣɨun,ɣɨun,ɣɨun
荻,定開四青入,dek,d̙ek,djɛk,d̥ɦjɛɣ,tʰjɨɣ
荼,定一模平,du,d̙o,du,d̥ɦu,tʰu
荼,船開三麻平,zyae,ʑa,ʑa,ʑ̊ɦa,ɕa
荼,澄開二麻平,drae,ɖaˤ,ɖʕa,ɖ̥ɦʕa,ʈʰʕa
荽,心合三脂平,swij,sjwi,sjwi,su,su
荾,心合三脂平,swij,sjwi,sjwi,su,su
莁,明三C虞平,mju,mɨ̯o,ɱu,ʋu,ʋu
莂,幫三B仙入,pjet,pɨ̯et,pɨɛt,pɨɛr,pɨɛr
莃,曉開三C微平,xj+j,xɨj,xɨi,xɨi,xɨi
莅,來開三脂去,lijH,lih,lɨiH,lɨiH,lɨiH
莆,幫三C虞上,pjuX,pɨ̯oʔ,pfuX,fuX,fuX
莈,明一魂入,mwot,m̙wət,mət,mbər,mbər
莉,來開四齊平,lej,l̙ej,ljɛj,ljɛj,lji
莉,澄開三之平,dri,ɖjɨ,ɖɨi,ɖ̥ɦɨi,ʈʰɨi
莉,澄開三脂平,drij,ɖi,ɖɨi,ɖ̥ɦɨi,ʈʰɨi
莊,莊開三陽平,tsrjang,tʂɨ̯ɑŋ,tʂʕɑŋ,tʂʕɔũ,tʂʕɔũ
莋,從開一唐入,dzak,d̙z̙ɑk,dzɑk,d̥z̥ɦɑɣ,tsʰɔɣ
莌,定合一寒入,dwat,d̙wɑt,dwɑt,d̥ɦwɑr,tʰwɑr
莌,透合一寒入,thwat,t̙ʰwɑt,tʰwɑt,tʰwɑr,tʰwɑr
莍,羣三C尤平,gjuw,ɡɨ̯u,ɡɨw,ɡ̊ɦɨw,kʰɨw
莎,心合一歌平,swa,s̙wɑ,swɑ,swɑ,swɔ
莏,心合一歌平,swa,s̙wɑ,swɑ,swɑ,swɔ
莐,澄開三侵平,drim,ɖim,ɖɨim,ɖ̥ɦɨim,ʈʰɨim
莑,滂三C鍾平,phjowng,pʰɨ̯oŋ,pfʰuŋ,fuŋ,fuŋ
莒,見開三C魚上,kjoX,kɨ̯əʔ,kɨX,kɨuX,kɨuX
莓,明一灰去,mwojH,m̙wəjh,mɑjH,mbɑjH,mbɑjH
莓,明一灰平,mwoj,m̙wəj,mɑj,mbɑj,mbɑj
莓,明三C尤去,mjuwH,mɨ̯uh,məwH,mbəwH,mbəwH
莔,明二庚平,maeng,m̙aˤŋ,mʕɛŋ,mbʕɛĩ,mbʕɛĩ
莔,曉開三C殷入,xj+t,xɨt,xɨt,xɨr,xɨr
莕,匣開二庚上,haengX,ʁaˤŋʔ,ʁʕɛŋH,ʁ̥ɦʕɛĩH,χʕɛĩH
莖,匣開二耕平,heang,ʁeˤŋ,ʁʕɛŋ,ʁ̥ɦʕɛĩ,χʕɛĩ
莖,影開二耕平,'eang,ʔ̙eˤŋ,ʔˤɛŋ,ʔˤɛĩ,ʔˤɛĩ
莘,生開三臻平,srin,ʂɨ̯in,ʂʕən,ʂʕən,ʂʕən
莙,見合三B真平,kwin,kwɨ̯in,kɨun,kɨun,kɨun
莙,見合三C文平,kjun,kɨ̯un,kɨun,kɨun,kɨun
莙,羣合三B真上,gwinX,ɡwɨ̯inʔ,ɡɨunH,ɡ̊ɦɨunH,kʰɨunH
莚,以開三仙去,yenH,jenh,jɛnH,jɛnH,jɛnH
莚,以開三仙平,yen,jen,jɛn,jɛn,jɛn
莛,定開四青上,dengX,d̙eŋʔ,djɛŋH,d̥ɦjɛĩH,tʰjɛĩH
莛,定開四青平,deng,d̙eŋ,djɛŋ,d̥ɦjɛĩ,tʰjɛĩ
莜,定開四蕭去,dewH,d̙ewh,djɛwH,d̥ɦjɛwH,tʰjɛwH
莝,清合一歌去,tshwaH,t̙s̙ʰwɑh,tsʰwɑH,tsʰwɑH,tsʰwɔH
莞,匣合一寒平,hwan,ʁwɑn,ʁwɑn,ʁ̥ɦwɑn,χwɑn
莞,匣合二刪上,hwaenX,ʁwaˤnʔ,ʁwʕanH,ʁ̥ɦwʕanH,χwʕanH
莞,見合一寒平,kwan,qwɑn,qwɑn,qwɑn,qwɑn
莟,匣開一覃上,homX,ʁəmʔ,ʁɑmH,ʁ̥ɦɑmH,χɑmH
莟,匣開一覃去,homH,ʁəmh,ʁɑmH,ʁ̥ɦɑmH,χɑmH
莠,以三尤上,yuwX,juʔ,jɨwX,jɨwX,jɨwX
莡,清開一唐入,tshak,t̙s̙ʰɑk,tsʰɑk,tsʰɑɣ,tsʰɔɣ
莢,見開四添入,kep,qep,kjɛp,kjɛβ,kjɛβ
莣,明三C陽平,mjang,mɨ̯ɑŋ,ɱɑŋ,ʋɔũ,ʋɔũ
莤,生三東入,srjuwk,ʂɨ̯uk,ʂʕuk,ʂʕuɣ,ʂʕuɣ
莥,孃三尤上,nrjuwX,ɳjuʔ,ɳɨwX,nɻɨwX,nɻɨwX
莦,心開三宵平,sjew,sjew,sjɛw,sjɛw,sjɛw
莦,生開二肴平,sraew,ʂaˤw,ʂʕaw,ʂʕaw,ʂʕaw
莧,匣開二山去,heanH,ʁeˤnh,ʁʕanH,ʁ̥ɦʕanH,χʕanH
莨,來開一唐平,lang,l̙ɑŋ,lɑŋ,lɔũ,lɔũ
莩,並三B宵上,bjewX,bɨ̯ewʔ,bɨɛwH,b̥ɦɨɛwH,pʰɨɛwH
莩,滂三C虞平,phju,pʰɨ̯o,pfʰu,fu,fu
莪,疑開一歌平,nga,ɴɑ,ɴɑ,ɴɢɑ,ɴɢɔ
莫,明一唐入,mak,m̙ɑk,mɑk,mbɑɣ,mbɔɣ
莬,明三C文去,mjunH,mɨ̯unh,ɱunH,ʋunH,ʋunH
莽,明一侯上,muwX,m̙uʔ,məwX,mbəwX,mbəwX
莽,明一唐上,mangX,m̙ɑŋʔ,mɑŋX,mbɔũX,mbɔũX
莽,明一模上,muX,m̙oʔ,muX,mbuX,mbuX
莿,清開三支去,tshjeH,tsʰieh,tsʰjiH,tsʰəH,tsʰəH
菀,影合三C元上,'jwonX,ʔwɨ̯ənʔ,ʔwɨɛnX,ʔwɨɛnX,ʔwɨɛnX
菀,影合三C文入,'jut,ʔɨ̯ut,ʔɨut,ʔɨur,ʔɨur
菁,精開三清平,tsjeng,tsjaŋ,tsjɛŋ,tsjɛĩ,tsjɛĩ
菄,端一東平,tuwng,t̙uŋ,tuŋ,tuŋ,tuŋ
菅,見開二刪平,kaen,qaˤn,qʕan,qʕan,qʕan
菆,初合三虞去,tsrhjuH,tʂʰɨ̯oh,tʂʰʕuH,tʂʰʕuH,tʂʰʕuH
菆,從合一寒平,dzwan,d̙z̙wɑn,dzwɑn,d̥z̥ɦwɑn,tsʰwɑn
菆,莊三尤平,tsrjuw,tʂɨ̯u,tʂʕəw,tʂʕəw,tʂʕəw
菈,來開一覃入,lop,l̙əp,lɑp,lɑβ,lɑβ
菉,來三鍾入,ljowk,ljok,lɨuk,lɨuɣ,lɨuɣ
菊,見三C東入,kjuwk,kɨ̯uk,kɨuk,kɨuɣ,kɨuɣ
菋,明三C微去,mj+jH,mwɨjh,ɱjiH,ʋjiH,ʋjiH
菌,羣合三B真上,gwinX,ɡwɨ̯inʔ,ɡɨunH,ɡ̊ɦɨunH,kʰɨunH
菌,羣合三C元上,gjwonX,ɡwɨ̯ənʔ,ɡwɨɛnH,ɡ̊ɦwɨɛnH,kʰwɨɛnH
菍,泥開四先入,net,n̙et,njɛt,ndjɛr,ndjɛr
菍,泥開四添入,nep,n̙ep,njɛp,ndjɛβ,ndjɛβ
菎,見合一魂平,kwon,qwən,qwən,qwən,qwən
菏,匣開一歌平,ha,ʁɑ,ʁɑ,ʁ̥ɦɑ,χɔ
菐,並一東入,buwk,b̙uk,buk,b̥ɦuɣ,pʰuɣ
菐,幫三C東入,pjuwk,pɨ̯uk,pfuk,fuɣ,fuɣ
菑,莊開三之平,tsri,tʂɨ,tʂʕi,tʂʕə,tʂʕə
菑,精開一咍平,tsoj,t̙s̙əj,tsɑj,tsɑj,tsɑj
菒,見開一豪上,kawX,qəwʔ,qɑwX,qɑwX,qɑwX
菓,見合一歌上,kwaX,qwɑʔ,qwɑX,qwɑX,qwɔX
菔,並一登入,bok,b̙ək,bək,b̥ɦəɣ,pʰəɣ
菔,並三C東入,bjuwk,bɨ̯uk,bvuk,v̥ɦuɣ,fuɣ
菕,來合一魂平,lwon,l̙wən,lwən,lwən,lwən
菖,昌開三陽平,tsyhang,tɕʰɑŋ,tɕʰɑŋ,tɕʰɔũ,tɕʰɔũ
菗,澄三尤平,drjuw,ɖju,ɖɨw,ɖ̥ɦɨw,ʈʰɨw
菘,心三東平,sjuwng,sjuŋ,sjuŋ,sjuŋ,sjuŋ
菙,常合三支上,dzyweX,dʑwieʔ,ʑwiH,ʑ̊ɦwiH,ɕwiH
菜,清開一咍去,tshojH,t̙s̙ʰəjh,tsʰɑjH,tsʰɑjH,tsʰɑjH
菝,並一寒入,bat,b̙ɑt,bɑt,b̥ɦɑr,pʰɑr
菝,並二山入,beat,b̙eˤt,bʕat,b̥ɦʕar,pʰʕar
菟,定一模平,du,d̙o,du,d̥ɦu,tʰu
菟,透一模去,thuH,t̙ʰoh,tʰuH,tʰuH,tʰuH
