character,position,baxter,emc,lmc,nw,nw_late
𢅯,並三C文去,bjunH,bɨ̯unh,bvunH,v̥ɦunH,funH
𢅰,曉開二庚入,xaek,χaˤk,χʕɛk,χʕɛɣ,χʕɛɣ
𢅹,以開三陽入,yak,jɑk,jɑk,jɑɣ,jɔɣ
𢆃,泥合一灰平,nwoj,n̙wəj,nwɑj,ndwɑj,ndwɑj
𢆃,泥開一寒去,nanH,n̙ɑnh,nɑnH,ndɑnH,ndɑnH
𢆉,日開三侵上,nyimX,ɲimʔ,ɲimX,ʑimX,ʑimX
𢆞,見開四先上,kenX,qenʔ,kjɛnX,kjɛnX,kjɛnX
𢆶,影三C尤平,'juw,ʔɨ̯u,ʔɨw,ʔɨw,ʔɨw
𢆶,影開三A幽平,'jiw,ʔjiw,ʔjɨw,ʔjɨw,ʔjɨw
𢆸,幫二耕平,peang,p̙eˤŋ,pʕɛŋ,pʕɛĩ,pʕɛĩ
𢇇,見合二刪平,kwaen,qwaˤn,qwʕan,qwʕan,qwʕan
𢇌,心開三支上,sjeX,sieʔ,sjiX,səX,səX
𢇓,羣開三C殷入,gj+t,ɡɨt,ɡɨt,ɡ̊ɦɨr,kʰɨr
𢇘,疑開三C嚴上,ngjaemX,ŋɨ̯əmʔ,ŋɨɛmX,ŋɡɨɛmX,ŋɡɨɛmX
𢇞,匣開一覃上,homX,ʁəmʔ,ʁɑmH,ʁ̥ɦɑmH,χɑmH
𢇫,幫三C鍾上,pjowngX,pɨ̯oŋʔ,pfuŋX,fuŋX,fuŋX
𢇷,並一寒入,bat,b̙ɑt,bɑt,b̥ɦɑr,pʰɑr
𢈉,定一東平,duwng,d̙uŋ,duŋ,d̥ɦuŋ,tʰuŋ
𢈌,見合三B支去,kjweH,kwɨ̯ieh,kwɨiH,kwɨiH,kwɨiH
𢈕,幫二佳去,peaH,p̙eˤh,pʕajH,pʕajH,pʕajH
𢈙,匣開二咸入,heap,ʁeˤp,ʁʕap,ʁ̥ɦʕaβ,χʕaβ
𢈚,來開三魚上,ljoX,ljəʔ,lɨX,lɨuX,lɨuX
𢈹,端合一灰平,twoj,t̙wəj,twɑj,twɑj,twɑj
𢉤,見開二麻去,kaeH,qaˤh,qʕaH,qʕaH,qʕaH
𢉥,影開一寒入,'at,ʔ̙ɑt,ʔɑt,ʔɑr,ʔɑr
𢉥,影開三C元入,'jot,ʔɨ̯ət,ʔɨɛt,ʔɨɛr,ʔɨɛr
𢉨,來開一寒入,lat,l̙ɑt,lɑt,lɑr,lɑr
𢊄,曉合三A脂平,xjwij,xjwi,xjwi,xjwi,xjwi
𢊕,清一東平,tshuwng,t̙s̙ʰuŋ,tsʰuŋ,tsʰuŋ,tsʰuŋ
𢊕,精一東上,tsuwngX,t̙s̙uŋʔ,tsuŋX,tsuŋX,tsuŋX
𢊖,書開三侵去,syimH,ɕimh,ɕimH,ɕimH,ɕimH
𢊗,明一唐入,mak,m̙ɑk,mɑk,mbɑɣ,mbɔɣ
𢊰,心開四先去,senH,s̙enh,sjɛnH,sjɛnH,sjɛnH
𢋅,以三尤平,yuw,ju,jɨw,jɨw,jɨw
𢋅,以合三虞平,yu,jo,ju,ju,ju
𢋑,明三C虞上,mjuX,mɨ̯oʔ,ɱuX,ʋuX,ʋuX
𢋒,匣合一唐入,hwak,ʁwɑk,ʁwɑk,ʁ̥ɦwɑɣ,χwɔɣ
𢌨,以開三仙平,yen,jen,jɛn,jɛn,jɛn
𢌱,以開三魚上,yoX,jəʔ,jɨX,juX,juX
𢌳,羣合三B脂平,gwij,ɡwɨ̯i,ɡwɨi,ɡ̊ɦwɨi,kʰwɨi
𢌻,以三東入,yuwk,juk,juk,juɣ,juɣ
𢍁,羣開三C之去,giH,ɡɨh,ɡɨiH,ɡ̊ɦɨiH,kʰɨiH
𢍁,羣開三C之平,gi,ɡɨ,ɡɨi,ɡ̊ɦɨi,kʰɨi
𢍏,見合三B仙去,kjwenH,kwɨ̯enh,kwɨɛnH,kwɨɛnH,kwɨɛnH
𢍚,云合三C微去,hjw+jH,wɨjh,wɨiH,wɨiH,wɨiH
𢎀,以開三蒸入,yik,jɨk,jɨk,jɨɣ,jɨɣ
𢎘,匣開一覃上,homX,ʁəmʔ,ʁɑmH,ʁ̥ɦɑmH,χɑmH
𢎘,匣開一覃平,hom,ʁəm,ʁɑm,ʁ̥ɦɑm,χɑm
𢎛,精開四先入,tset,t̙s̙et,tsjɛt,tsjɛr,tsjɛr
𢎢,以開三真上,yinX,jinʔ,jinX,jinX,jinX
𢎦,常合三虞平,dzyu,dʑo,ʑu,ʑ̊ɦu,ɕu
𢎰,溪一模平,khu,qʰo,qʰu,qʰu,qʰu
𢎰,影一模平,'u,ʔ̙o,ʔu,ʔu,ʔu
𢏏,明三A支平,mjie,mjie,mji,mbji,mbji
𢏕,定一東平,duwng,d̙uŋ,duŋ,d̥ɦuŋ,tʰuŋ
𢏗,疑開四齊去,ngejH,ɴejh,ŋjɛjH,ŋɡjɛjH,ŋɡjiH
𢏤,心合三真去,swinH,sjwinh,sjwinH,sjwinH,sjwinH
𢐀,並三B真入,bit,bɨ̯it,bɨt,b̥ɦɨr,pʰɨr
𢐂,知開三之去,triH,ʈjɨh,ʈɨiH,ʈɨiH,ʈɨiH
𢐂,常開三支去,dzyeH,dʑieh,ʑiH,ʑ̊ɦiH,ɕiH
𢐄,以合三仙去,ywenH,jwenh,jwɛnH,jwɛnH,jwɛnH
𢐲,並三C元平,bjon,bɨ̯ən,bvʕan,v̥ɦʕan,fʕan
𢐸,來一模平,lu,l̙o,lu,lu,lu
𢑄,以開三宵平,yew,jew,jɛw,jɛw,jɛw
𢑆,羣合三B仙平,gjwen,ɡwɨ̯en,ɡwɨɛn,ɡ̊ɦwɨɛn,kʰwɨɛn
𢑢,曉合一魂入,xwot,χwət,χwət,χwər,χwər
𢒔,知三鍾入,trjowk,ʈjok,ʈɨuk,ʈɨuɣ,ʈɨuɣ
𢒔,徹三鍾入,trhjowk,ʈʰjok,ʈʰɨuk,ʈʰɨuɣ,ʈʰɨuɣ
𢒞,來開一寒去,lanH,l̙ɑnh,lɑnH,lɑnH,lɑnH
𢒫,邪開三侵平,zim,zim,zjim,z̥ɦjim,sjim
𢓀,以開三蒸入,yik,jɨk,jɨk,jɨɣ,jɨɣ
𢓈,邪合三真去,zwinH,zjwinh,zjwinH,z̥ɦjwinH,sjwinH
𢓕,以開三侵平,yim,jim,jim,jim,jim
𢓜,見開二庚入,kaek,qaˤk,qʕɛk,qʕɛɣ,qʕɛɣ
𢓠,生開三臻平,srin,ʂɨ̯in,ʂʕən,ʂʕən,ʂʕən
𢓡,以開三脂平,yij,ji,ji,ji,ji
𢓪,俟開三之上,zriX,ʐɨʔ,ʐʕiH,ʐ̥ɦʕəH,ʂʕəH
𢓱,滂三C鍾平,phjowng,pʰɨ̯oŋ,pfʰuŋ,fuŋ,fuŋ
𢓴,透合一灰去,thwojH,t̙ʰwəjh,tʰwɑjH,tʰwɑjH,tʰwɑjH
𢔀,清開三侵平,tshim,tsʰim,tsʰjim,tsʰjim,tsʰjim
𢔅,端一東平,tuwng,t̙uŋ,tuŋ,tuŋ,tuŋ
𢔋,心三鍾平,sjowng,sjoŋ,sjuŋ,sjuŋ,sjuŋ
𢔌,幫三A支上,pjieX,pjieʔ,pjiX,pjiX,pjiX
𢔟,孃三尤上,nrjuwX,ɳjuʔ,ɳɨwX,nɻɨwX,nɻɨwX
𢔠,曉合三A清入,xjwiek,xjwak,xjwɛk,xjwɛɣ,xjwɨɣ
𢔡,溪開二皆平,kheaj,qʰeˤj,qʰʕaj,qʰʕaj,qʰʕaj
𢔢,以合三虞平,yu,jo,ju,ju,ju
𢔥,云合三C文入,hjut,wɨ̯ut,ɣɨut,ɣɨur,ɣɨur
𢔭,定開四齊平,dej,d̙ej,djɛj,d̥ɦjɛj,tʰji
𢕒,並三C尤去,bjuwH,bɨ̯uh,bvəwH,v̥ɦəwH,fəwH
𢕕,心開一覃上,somX,s̙əmʔ,sɑmX,sɑmX,sɑmX
𢕘,清合一灰平,tshwoj,t̙s̙ʰwəj,tsʰwɑj,tsʰwɑj,tsʰwɑj
𢕚,知開三蒸入,trik,ʈjɨk,ʈɨk,ʈɨɣ,ʈɨɣ
𢕬,心開一覃入,sop,s̙əp,sɑp,sɑβ,sɑβ
𢕬,初開三侵入,tsrhip,tʂʰɨ̯ip,tʂʰʕip,tʂʰʕiβ,tʂʰʕiβ
𢕮,知開二佳去,treaH,ʈeˤh,ʈʕajH,ʈʕajH,ʈʕajH
𢕮,知開二麻去,traeH,ʈaˤh,ʈʕaH,ʈʕaH,ʈʕaH
𢖊,滂四青平,pheng,p̙ʰeŋ,pʰjɛŋ,pʰjɛĩ,pʰjɛĩ
𢖒,影三C尤平,'juw,ʔɨ̯u,ʔɨw,ʔɨw,ʔɨw
𢖔,幫二肴去,paewH,p̙aˤwh,pʕawH,pʕawH,pʕawH
𢖦,溪合三C陽入,khjwak,kʰwɨ̯ɑk,kʰwɨɑk,kʰwɨɑɣ,kʰwɨɔɣ
𢖫,疑開三C微去,ngj+jH,ŋɨjh,ŋɨiH,ŋɡɨiH,ŋɡɨiH
𢖳,曉合三C虞平,xju,xɨ̯o,xɨu,xɨu,xɨu
𢖶,溪三C鍾上,khjowngX,kʰɨ̯oŋʔ,kʰɨuŋX,kʰɨuŋX,kʰɨuŋX
𢖶,溪三C鍾去,khjowngH,kʰɨ̯oŋh,kʰɨuŋH,kʰɨuŋH,kʰɨuŋH
𢖺,以開三蒸入,yik,jɨk,jɨk,jɨɣ,jɨɣ
𢗊,曉開二皆去,xeajH,χeˤjh,χʕajH,χʕajH,χʕajH
𢗋,常合三真平,dzywin,dʑwin,ʑwɨn,ʑ̊ɦwɨn,ɕwɨn
𢗋,羣合三A清平,gjwieng,ɡjwaŋ,ɡjwɛŋ,ɡ̊ɦjwɛĩ,kʰjwɛĩ
𢗒,並二江上,baewngX,b̙oˤŋʔ,bʕawŋH,b̥ɦʕɔũH,pʰʕɔũH
𢗿,明一寒入,mat,m̙ɑt,mɑt,mbɑr,mbɑr
𢘁,心開三鹽平,sjem,sjem,sjɛm,sjɛm,sjɛm
𢘉,匣開二銜入,haep,ʁaˤp,ʁʕap,ʁ̥ɦʕaβ,χʕaβ
𢘌,匣合二庚平,hwaeng,ʁwaˤŋ,ʁwʕɛŋ,ʁ̥ɦwʕɛĩ,χwʕɛĩ
𢘍,並三B真入,bit,bɨ̯it,bɨt,b̥ɦɨr,pʰɨr
𢘎,日合三仙上,nywenX,ɲwenʔ,ɲwɛnX,ʑwɛnX,ʑwɛnX
𢘐,端一東平,tuwng,t̙uŋ,tuŋ,tuŋ,tuŋ
𢘽,以開三祭去,yejH,jejh,jɛjH,jɛjH,jiH
𢘽,徹開三祭去,trhjejH,ʈʰjejh,ʈʰɨɛjH,ʈʰɨɛjH,ʈʰɨiH
𢘿,心合一歌平,swa,s̙wɑ,swɑ,swɑ,swɔ
𢙣,影開一唐入,'ak,ʔ̙ɑk,ʔɑk,ʔɑɣ,ʔɔɣ
𢙱,來一東去,luwngH,l̙uŋh,luŋH,luŋH,luŋH
𢙼,匣開四青上,hengX,ʁeŋʔ,ɣjɛŋH,ɣ̊ɦjɛĩH,xjɛĩH
𢚃,來合三仙入,ljwet,ljwet,lwɨɛt,lwɨɛr,lwɨɛr
𢛁,端開一寒入,tat,t̙ɑt,tɑt,tɑr,tɑr
𢛃,羣三C尤上,gjuwX,ɡɨ̯uʔ,ɡɨwH,ɡ̊ɦɨwH,kʰɨwH
𢛃,羣三C尤平,gjuw,ɡɨ̯u,ɡɨw,ɡ̊ɦɨw,kʰɨw
𢛆,匣開四先平,hen,ʁen,ɣjɛn,ɣ̊ɦjɛn,xjɛn
𢛈,昌開三鹽平,tsyhem,tɕʰem,tɕʰɛm,tɕʰɛm,tɕʰɛm
𢛎,並四先入,bet,b̙et,bjɛt,b̥ɦjɛr,pʰjɛr
𢛓,來開二山平,lean,l̙eˤn,lʕan,lʕan,lʕan
𢛢,匣開一登平,hong,ʁəŋ,ʁəŋ,ʁ̥ɦəŋ,χəŋ
𢛳,端開一登入,tok,t̙ək,tək,təɣ,təɣ
𢜩,溪開二咸上,kheamX,qʰeˤmʔ,qʰʕamX,qʰʕamX,qʰʕamX
